City,City_Tier,Property_Type,BHK,Builtup_Area_sqft,Property_Age_years,Floor,Total_Floors,Furnishing,Parking,Distance_to_Metro_km,Distance_to_School_km,Distance_to_Hospital_km,Average_Area_Price_sqft,Rental_Yield_percent,Annual_Rent,Property_Price,Investment_Category
Gaya,Tier_3,Apartment,1,650,19,0,9,Semi-Furnished,Covered,2.87,0.39,7.73,2479,2.79,43758,1568419,Medium ROI
Nagpur,Tier_2,Independent House,2,854,5,0,2,Unfurnished,None,4.67,7.18,3.94,4332,2.73,101171,3705933,Medium ROI
Kolkata,Tier_1,Villa,2,1918,17,0,3,Fully-Furnished,Covered,9.73,5.73,5.45,7059,1.5,215924,14394950,Low ROI
Kurnool,Tier_3,Independent House,2,1264,21,0,2,Fully-Furnished,Covered,6.21,2.86,3.38,2268,2.73,78073,2859851,Medium ROI
Ongole,Tier_3,Apartment,1,536,6,0,2,Fully-Furnished,Covered,6.72,4.07,1.25,3097,4.75,75660,1592850,High ROI
Indore,Tier_2,Apartment,3,756,0,3,5,Semi-Furnished,None,7.56,3.94,6.66,3454,1.5,38570,2571348,Low ROI
Faridabad,Tier_3,Independent House,3,1400,14,0,3,Semi-Furnished,Covered,0.01,0.86,2.33,3069,4.55,206734,4543612,High ROI
Nizamabad,Tier_3,Apartment,1,791,8,0,6,Unfurnished,None,3.44,0.75,2.8,2409,3.38,61734,1826457,Medium ROI
Bhavnagar,Tier_3,Villa,2,2341,5,0,2,Semi-Furnished,Open,5.95,2.48,3.61,3875,3.18,309659,9737709,Medium ROI
Warangal,Tier_3,Apartment,2,1348,16,3,4,Fully-Furnished,Covered,12.53,4.27,0.62,2695,3.49,133146,3815080,Medium ROI
Vadodara,Tier_2,Apartment,2,758,5,6,8,Unfurnished,Open,4.34,2.65,7.56,2932,2.3,52346,2275945,Low ROI
Bathinda,Tier_3,Apartment,1,1026,9,5,10,Unfurnished,Open,0.03,2.76,7.76,2457,2.84,69037,2430898,Medium ROI
Ludhiana,Tier_3,Apartment,3,1381,7,3,8,Semi-Furnished,Covered,7.27,4.49,0.86,2689,5.03,187179,3721259,High ROI
Nashik,Tier_3,Villa,2,1917,1,0,3,Semi-Furnished,Open,2.13,1.23,3.89,4378,4.64,366989,7909263,High ROI
Bathinda,Tier_3,Apartment,2,941,1,2,3,Semi-Furnished,Open,1.55,4.03,2.5,2635,3.84,97635,2542603,High ROI
Mysore,Tier_3,Villa,2,2367,9,0,3,Semi-Furnished,None,5.02,0.16,3.02,3025,3.03,232754,7681658,Medium ROI
Kota,Tier_3,Apartment,3,1358,3,0,6,Unfurnished,None,1.6,1.22,2.23,2527,4.33,142212,3284353,High ROI
Panipat,Tier_3,Apartment,4,1005,8,3,6,Semi-Furnished,Covered,0.57,0.82,0.9,3231,3.63,123690,3407463,High ROI
Aurangabad,Tier_3,Apartment,3,1022,3,5,7,Semi-Furnished,Covered,2.03,0.22,1.16,2666,4.61,116851,2534741,High ROI
Nizamabad,Tier_3,Apartment,1,731,16,1,9,Semi-Furnished,Covered,3.24,3.42,1.77,2521,3.88,75400,1943302,High ROI
Nashik,Tier_3,Apartment,3,1447,6,6,9,Unfurnished,Covered,9.21,0.45,0.15,2515,4.97,172179,3464368,High ROI
Amritsar,Tier_3,Apartment,3,1439,0,3,8,Unfurnished,Covered,5.3,0.26,2.29,2503,4.7,170058,3618258,High ROI
Meerut,Tier_3,Apartment,1,520,6,2,3,Unfurnished,Open,6.34,4.07,5.52,2634,3.77,54886,1455869,High ROI
Chandigarh,Tier_2,Independent House,2,1010,7,0,1,Semi-Furnished,None,9.18,1.91,3.83,4999,2.53,136139,5381002,Medium ROI
Erode,Tier_3,Apartment,2,1091,0,3,10,Fully-Furnished,Covered,3.27,2.9,0.14,3267,2.54,88454,3482452,Medium ROI
Kochi,Tier_3,Independent House,3,1310,4,0,2,Semi-Furnished,Open,7.31,1.5,3.58,3509,4.11,191018,4647650,High ROI
Visakhapatnam,Tier_3,Independent House,2,772,8,0,1,Semi-Furnished,Open,2.53,5.18,5.56,2992,4.66,104725,2247336,High ROI
Varanasi,Tier_3,Independent House,2,1433,52,0,2,Semi-Furnished,Covered,7.3,2.62,0.37,1565,4.04,95987,2375938,High ROI
Howrah,Tier_3,Apartment,2,574,2,2,4,Semi-Furnished,Open,2.99,2.14,3.46,2702,4.22,69552,1648175,High ROI
Tirunelveli,Tier_3,Apartment,4,1337,18,2,7,Fully-Furnished,None,7.84,1.9,9.38,2242,3.58,103206,2882870,High ROI
Madurai,Tier_3,Independent House,1,635,5,0,1,Fully-Furnished,Covered,7.16,1.41,0.13,3277,4.5,97495,2166576,High ROI
Surat,Tier_2,Apartment,1,795,5,4,6,Fully-Furnished,Covered,10.15,3.78,4.52,5678,4.55,190118,4178429,High ROI
Jaipur,Tier_2,Plot,2,1547,0,0,3,Unfurnished,Covered,4.7,4.76,6.07,3742,3.03,165003,5445676,Medium ROI
Chennai,Tier_1,Apartment,2,884,7,3,11,Fully-Furnished,Open,7.63,5.24,6.28,6384,1.81,106747,5897675,Low ROI
Srinagar,Tier_3,Apartment,1,926,0,3,8,Fully-Furnished,Open,7.17,1.03,4.47,2907,3.28,90887,2770956,Medium ROI
Bengaluru,Tier_1,Apartment,1,1051,5,3,5,Fully-Furnished,None,12.37,8.56,8.47,6941,1.73,127203,7352819,Low ROI
Thane,Tier_2,Apartment,3,1267,5,5,9,Semi-Furnished,None,0.95,2.73,8.75,3881,1.5,68541,4569419,Low ROI
Srinagar,Tier_3,Apartment,1,957,13,1,2,Fully-Furnished,Covered,6.64,2.73,6.85,3257,3.26,102201,3135011,Medium ROI
Chennai,Tier_1,Plot,1,1232,2,0,1,Unfurnished,None,11.86,6.14,7.2,3828,2.35,105164,4475079,Low ROI
Chennai,Tier_1,Apartment,3,1449,6,3,10,Semi-Furnished,None,9.51,6.29,10.25,5217,1.57,121675,7750030,Low ROI
Bathinda,Tier_3,Apartment,2,722,9,3,8,Semi-Furnished,Covered,8.2,2.66,3.56,2988,2.56,58741,2294590,Medium ROI
Varanasi,Tier_3,Apartment,2,1157,6,5,11,Fully-Furnished,Open,1.64,0.88,2.91,3111,1.5,54223,3614886,Low ROI
Allahabad,Tier_3,Apartment,2,777,7,1,9,Unfurnished,Open,4.28,4.24,5.39,2174,4.18,75698,1810972,High ROI
Jhansi,Tier_3,Apartment,2,1062,27,2,9,Fully-Furnished,Open,4.72,2.47,1.39,2510,3.34,84911,2542263,Medium ROI
Solapur,Tier_3,Villa,3,2973,5,0,1,Unfurnished,Open,3.07,1.92,1.13,3478,3.77,386937,10263598,High ROI
Thane,Tier_2,Apartment,3,1114,0,2,7,Semi-Furnished,Open,6.74,7.32,7.49,3968,2.75,130605,4749294,Medium ROI
Surat,Tier_2,Apartment,3,1345,8,3,7,Unfurnished,Covered,6.97,4.04,3.84,3652,2.97,135250,4553891,Medium ROI
Kalyan-Dombivali,Tier_3,Apartment,3,827,2,0,8,Fully-Furnished,Open,2.4,2.54,6.14,3081,3.14,78058,2485940,Medium ROI
Hyderabad,Tier_1,Plot,3,1668,4,0,2,Semi-Furnished,Covered,6.77,3.75,10.63,5795,1.68,169073,10063918,Low ROI
Raipur,Tier_3,Villa,3,2976,6,0,2,Fully-Furnished,Covered,8.54,3.23,3.04,4813,2.47,371190,15027966,Low ROI
Chandrapur,Tier_3,Apartment,3,1278,2,2,3,Semi-Furnished,Covered,5.59,4.11,1.86,3383,3.91,168060,4298226,High ROI
Mysore,Tier_3,Villa,3,2979,15,0,2,Unfurnished,Covered,3.45,0.84,1.98,3027,2.11,205264,9728169,Low ROI
Aurangabad,Tier_3,Apartment,1,655,9,2,5,Unfurnished,Covered,4.4,3.12,3.16,2656,3.28,55197,1682848,Medium ROI
Mysore,Tier_3,Apartment,3,807,25,5,9,Semi-Furnished,Open,2.27,0.61,5.68,2295,3.61,70178,1944004,High ROI
Rourkela,Tier_3,Apartment,2,750,2,5,6,Semi-Furnished,Covered,0.08,2.22,4.1,3263,3.66,88764,2425247,High ROI
Bengaluru,Tier_1,Apartment,2,1046,28,5,11,Semi-Furnished,Open,6.99,6.11,12.06,4489,2.29,105954,4626835,Low ROI
Tirunelveli,Tier_3,Plot,2,1146,5,0,3,Fully-Furnished,Open,6.78,1.14,4.13,2088,3.88,88086,2270259,High ROI
Ranchi,Tier_3,Apartment,2,1090,2,3,9,Fully-Furnished,None,0.94,0.3,0.76,3417,3.71,141628,3817481,High ROI
Srinagar,Tier_3,Apartment,1,645,6,5,7,Fully-Furnished,Covered,5.7,4.39,2.88,3185,4.53,86240,1903769,High ROI
Srinagar,Tier_3,Apartment,3,792,21,4,9,Semi-Furnished,None,0.83,4.45,5.47,2384,2.95,58813,1993684,Medium ROI
Dehradun,Tier_3,Villa,3,2327,5,0,2,Unfurnished,None,6.54,1.52,4.64,3036,4.62,326968,7077246,High ROI
Aurangabad,Tier_3,Apartment,2,1037,4,5,6,Semi-Furnished,None,2.11,2.52,4.05,2401,5.5,132188,2403423,High ROI
Hyderabad,Tier_1,Apartment,3,1468,1,2,7,Semi-Furnished,Covered,6.45,5.7,5.05,5984,1.69,158968,9406426,Low ROI
Coimbatore,Tier_3,Apartment,2,1150,10,0,5,Semi-Furnished,Covered,3.84,2.92,6.49,3076,4.21,137619,3268860,High ROI
Rourkela,Tier_3,Apartment,2,1011,11,5,8,Unfurnished,Open,8.16,0.94,2.99,2258,4.42,103437,2340204,High ROI
Ghaziabad,Tier_2,Apartment,5,1444,18,1,10,Unfurnished,Covered,7.34,2.25,7.1,4252,2.13,132148,6204138,Low ROI
Mysore,Tier_3,Apartment,3,1183,14,8,11,Fully-Furnished,None,6.65,2.08,0.39,3007,5.08,189332,3727009,High ROI
Rourkela,Tier_3,Apartment,2,952,6,3,6,Semi-Furnished,Open,2.58,0.16,3.79,2942,3.05,82595,2708051,Medium ROI
Dhanbad,Tier_3,Apartment,3,856,13,5,13,Unfurnished,Open,7.0,3.18,6.2,2374,4.45,84865,1907099,High ROI
Aurangabad,Tier_3,Apartment,4,1273,1,6,11,Semi-Furnished,None,0.08,4.76,7.63,2640,3.76,117799,3132967,High ROI
Chandigarh,Tier_2,Villa,3,2762,28,0,2,Semi-Furnished,Open,4.93,5.42,1.43,5110,1.97,299695,15212992,Low ROI
Nanded,Tier_3,Apartment,4,1045,11,2,8,Fully-Furnished,Open,1.89,1.32,1.89,2466,3.03,75756,2500215,Medium ROI
Lucknow,Tier_2,Apartment,2,1265,4,1,5,Fully-Furnished,Open,7.46,6.7,3.73,5684,3.6,246346,6842946,High ROI
Faridabad,Tier_3,Independent House,1,638,5,0,1,Semi-Furnished,Open,3.29,3.54,6.57,3024,4.33,89288,2062087,High ROI
Nagpur,Tier_2,Apartment,1,904,11,3,5,Unfurnished,Open,1.79,6.36,5.3,4355,1.92,71142,3705352,Low ROI
Jamshedpur,Tier_3,Plot,4,1850,28,0,2,Unfurnished,Open,6.2,2.81,0.5,1625,3.85,119666,3108214,High ROI
Bhopal,Tier_2,Apartment,3,1485,0,5,11,Fully-Furnished,Open,0.71,4.63,5.28,4075,1.5,93997,6266493,Low ROI
Jaipur,Tier_2,Villa,2,2742,26,0,2,Semi-Furnished,Open,8.09,4.62,2.14,5064,1.5,206139,13742612,Low ROI
Ujjain,Tier_3,Villa,3,2422,6,0,3,Fully-Furnished,None,6.46,3.98,6.74,4633,3.25,370145,11389089,Medium ROI
Solapur,Tier_3,Villa,2,2833,1,0,2,Semi-Furnished,None,3.29,3.28,1.27,3974,3.15,342114,10860786,Medium ROI
Nagpur,Tier_2,Apartment,2,643,5,0,8,Fully-Furnished,Open,4.82,1.3,2.07,4818,1.5,46530,3102052,Low ROI
Thiruvananthapuram,Tier_3,Apartment,2,873,5,2,10,Unfurnished,None,7.17,2.74,3.7,2701,4.91,122859,2502237,High ROI
Kalyan-Dombivali,Tier_3,Apartment,2,1115,4,4,5,Semi-Furnished,None,5.38,1.37,7.59,2233,4.99,116658,2337838,High ROI
Ranchi,Tier_3,Apartment,2,1006,5,1,7,Semi-Furnished,Covered,8.61,1.69,3.41,2403,4.88,119973,2458483,High ROI
Indore,Tier_2,Plot,3,1605,6,0,1,Unfurnished,Open,9.09,2.51,7.51,3898,1.58,102880,6511411,Low ROI
Hyderabad,Tier_1,Apartment,1,571,18,2,3,Fully-Furnished,Covered,10.14,3.77,5.6,4609,2.46,68185,2771749,Low ROI
Hyderabad,Tier_1,Apartment,2,1131,2,6,9,Fully-Furnished,Open,7.56,3.97,3.4,5589,1.5,94117,6274482,Low ROI
Thane,Tier_2,Villa,4,3267,8,0,1,Semi-Furnished,Covered,4.71,0.95,6.08,5960,1.5,272763,18184230,Low ROI
Patna,Tier_2,Plot,3,1788,1,0,1,Semi-Furnished,Covered,3.06,5.7,3.96,4618,3.2,252489,7890296,Medium ROI
Jaipur,Tier_2,Apartment,2,1105,2,4,10,Semi-Furnished,Open,6.43,5.02,6.18,4324,2.53,126242,4989816,Medium ROI
Ongole,Tier_3,Apartment,4,1475,4,6,8,Unfurnished,Covered,6.26,3.85,0.17,2829,4.55,184318,4050948,High ROI
Kochi,Tier_3,Villa,3,2350,5,0,1,Fully-Furnished,Open,3.92,0.94,0.09,3605,3.37,289442,8588786,Medium ROI
Varanasi,Tier_3,Villa,2,2261,0,0,1,Semi-Furnished,Covered,4.18,4.05,5.18,4445,1.88,182370,9700560,Low ROI
Rajkot,Tier_3,Apartment,1,935,1,1,4,Unfurnished,Open,4.62,1.56,3.43,2405,3.72,85139,2288689,High ROI
Nashik,Tier_3,Apartment,3,1031,4,6,9,Fully-Furnished,Open,4.12,0.11,1.28,3154,2.32,75250,3243570,Low ROI
Bathinda,Tier_3,Plot,3,1323,3,0,1,Semi-Furnished,Open,4.28,3.73,3.3,2344,3.24,102566,3165628,Medium ROI
Bokaro,Tier_3,Apartment,2,968,3,0,4,Unfurnished,None,10.92,0.91,2.4,2688,3.71,100471,2708128,High ROI
Howrah,Tier_3,Apartment,2,862,5,1,4,Fully-Furnished,Open,7.29,3.06,4.9,2477,3.97,90955,2291064,High ROI
Bathinda,Tier_3,Apartment,3,983,17,2,10,Semi-Furnished,Covered,4.33,1.07,9.3,2782,3.38,93927,2778924,Medium ROI
Shimla,Tier_3,Apartment,2,1149,2,3,8,Semi-Furnished,None,3.89,0.96,2.78,2869,5.33,169000,3170742,High ROI
Vijayawada,Tier_3,Apartment,3,1305,22,6,10,Semi-Furnished,Open,5.5,2.95,3.26,1658,4.57,98651,2158672,High ROI
Varanasi,Tier_3,Apartment,3,958,5,4,13,Semi-Furnished,Open,8.9,2.34,6.86,2652,3.87,93075,2405063,High ROI
Kalyan-Dombivali,Tier_3,Independent House,1,1027,4,0,3,Fully-Furnished,Open,3.28,0.64,4.04,3574,3.9,132153,3388556,High ROI
Bengaluru,Tier_1,Independent House,1,650,1,0,2,Semi-Furnished,Covered,5.14,5.63,7.32,7503,2.69,134442,4997844,Medium ROI
Gaya,Tier_3,Apartment,2,1308,6,2,11,Fully-Furnished,Open,8.38,1.99,3.52,3199,3.56,143960,4043825,High ROI
Ludhiana,Tier_3,Plot,2,705,0,0,1,Fully-Furnished,Covered,4.06,0.62,6.09,3555,4.41,102322,2320239,High ROI
Bengaluru,Tier_1,Independent House,2,744,6,0,3,Semi-Furnished,Covered,13.15,2.71,9.34,5435,1.5,58549,3903302,Low ROI
Hyderabad,Tier_1,Apartment,3,1083,12,1,7,Unfurnished,Open,7.61,5.44,4.53,3967,1.63,73211,4491519,Low ROI
Karnal,Tier_3,Apartment,3,1154,0,2,5,Unfurnished,None,1.97,5.05,1.05,2350,4.88,136649,2800194,High ROI
Mangalore,Tier_3,Apartment,3,1524,24,2,3,Fully-Furnished,Covered,1.85,3.42,0.41,2003,4.37,135279,3095647,High ROI
Bhubaneswar,Tier_3,Apartment,3,1603,8,4,8,Semi-Furnished,Open,3.86,0.21,1.8,2770,4.4,189189,4299750,High ROI
Tiruppur,Tier_3,Apartment,2,573,0,7,8,Semi-Furnished,Open,4.93,4.82,3.81,2175,4.24,56789,1339374,High ROI
Kochi,Tier_3,Apartment,2,820,0,8,9,Fully-Furnished,Open,13.86,3.79,10.04,2374,4.21,81916,1945756,High ROI
Bhubaneswar,Tier_3,Plot,3,1411,6,0,1,Semi-Furnished,Open,5.04,6.04,4.9,2799,3.93,152661,3884523,High ROI
Srinagar,Tier_3,Apartment,2,855,2,1,9,Fully-Furnished,Open,1.77,4.27,4.51,2509,3.53,77299,2189785,High ROI
Lucknow,Tier_2,Apartment,2,888,7,6,7,Semi-Furnished,Open,5.96,3.04,8.77,3269,2.81,80307,2857910,Medium ROI
Agartala,Tier_3,Apartment,3,1281,6,1,6,Unfurnished,Covered,3.11,3.64,4.24,2142,3.44,91542,2661126,Medium ROI
Raipur,Tier_3,Independent House,1,838,1,0,3,Fully-Furnished,Open,4.32,2.67,0.33,2683,3.42,79236,2316846,Medium ROI
Kochi,Tier_3,Independent House,2,1476,7,0,2,Fully-Furnished,Open,3.75,0.26,1.18,3237,5.27,251105,4764813,High ROI
Kochi,Tier_3,Independent House,5,1495,3,0,1,Unfurnished,Open,9.76,0.88,0.98,2175,3.42,104573,3057714,Medium ROI
Delhi,Tier_1,Apartment,3,1398,0,1,7,Unfurnished,Open,6.1,4.97,10.22,6728,1.5,130681,8712069,Low ROI
Thiruvananthapuram,Tier_3,Apartment,3,1015,1,4,7,Semi-Furnished,None,4.82,1.36,6.71,3024,4.21,127527,3029162,High ROI
Delhi,Tier_1,Apartment,2,1176,14,2,6,Fully-Furnished,Covered,12.88,3.85,7.51,6851,1.5,121286,8085754,Low ROI
Nizamabad,Tier_3,Independent House,2,937,2,0,1,Unfurnished,Open,3.86,1.19,2.36,2994,2.7,79415,2941299,Medium ROI
Solapur,Tier_3,Apartment,2,1134,2,3,7,Unfurnished,Covered,0.74,4.33,0.4,3048,3.59,128456,3578170,High ROI
Patna,Tier_2,Apartment,3,993,2,3,4,Unfurnished,Open,9.48,2.0,5.87,3294,4.12,134126,3255499,High ROI
Mumbai,Tier_1,Apartment,2,899,15,5,6,Unfurnished,Open,6.2,6.82,6.02,4293,1.5,53825,3588388,Low ROI
Bikaner,Tier_3,Apartment,1,557,1,2,3,Fully-Furnished,Covered,6.09,5.21,2.34,2993,4.32,66420,1537501,High ROI
Meerut,Tier_3,Apartment,3,1285,0,6,11,Fully-Furnished,Covered,1.36,2.24,3.22,3058,3.81,156110,4097392,High ROI
Amritsar,Tier_3,Apartment,3,1047,6,1,6,Unfurnished,Open,8.91,1.93,1.98,1860,1.71,31790,1859066,Low ROI
Nashik,Tier_3,Apartment,1,877,0,8,9,Fully-Furnished,Open,6.7,1.18,8.56,2911,3.54,91468,2583850,High ROI
Bijapur,Tier_3,Apartment,4,1429,3,9,10,Fully-Furnished,Covered,0.09,2.5,5.91,2729,3.29,118092,3589428,Medium ROI
Srinagar,Tier_3,Plot,1,1155,3,0,3,Unfurnished,None,6.29,2.31,0.1,2023,2.2,47294,2149732,Low ROI
Jaipur,Tier_2,Independent House,1,574,1,0,3,Semi-Furnished,Open,13.68,4.0,4.66,4924,1.87,51183,2737088,Low ROI
Bhopal,Tier_2,Apartment,2,753,13,6,7,Semi-Furnished,Covered,4.81,4.85,4.89,3760,1.88,56112,2984689,Low ROI
Vijayawada,Tier_3,Apartment,3,1286,5,3,11,Unfurnished,Covered,5.8,1.38,6.57,2846,3.11,117673,3783719,Medium ROI
Gurgaon,Tier_2,Apartment,2,668,6,2,6,Fully-Furnished,None,7.43,4.84,6.3,5387,2.17,79988,3686084,Low ROI
Nashik,Tier_3,Apartment,2,608,6,3,6,Fully-Furnished,Open,1.25,1.27,3.66,2793,3.98,68851,1729926,High ROI
Meerut,Tier_3,Apartment,2,1340,1,5,6,Unfurnished,None,1.5,3.59,2.83,2168,5.12,141480,2763298,High ROI
Bijapur,Tier_3,Apartment,1,1032,9,2,4,Semi-Furnished,Open,3.54,5.84,4.05,1885,4.83,90546,1874674,High ROI
Erode,Tier_3,Apartment,2,1126,10,0,11,Fully-Furnished,Covered,5.56,0.36,1.21,2623,4.29,117728,2744261,High ROI
Mysore,Tier_3,Independent House,3,1214,17,0,2,Fully-Furnished,Open,7.18,1.47,2.75,2930,2.35,83234,3541908,Low ROI
Erode,Tier_3,Independent House,3,1163,10,0,1,Semi-Furnished,None,4.22,2.75,2.9,3187,4.54,158936,3500810,High ROI
Nashik,Tier_3,Independent House,1,914,9,0,2,Unfurnished,None,5.36,7.09,3.56,2614,2.91,64656,2221885,Medium ROI
Nagpur,Tier_2,Independent House,2,1169,13,0,1,Fully-Furnished,Open,6.35,5.17,7.83,3859,3.02,143589,4754610,Medium ROI
Vijayawada,Tier_3,Independent House,2,1116,17,0,3,Fully-Furnished,Covered,10.0,1.0,3.0,3140,4.12,154551,3751244,High ROI
Moradabad,Tier_3,Apartment,3,1381,15,0,4,Unfurnished,None,5.44,3.32,1.43,2241,4.07,118855,2920280,High ROI
Allahabad,Tier_3,Apartment,2,1149,4,4,9,Fully-Furnished,None,4.97,4.78,6.53,2851,4.02,124796,3104392,High ROI
Mumbai,Tier_1,Apartment,2,1216,3,1,8,Semi-Furnished,Open,4.85,4.21,5.07,6832,1.5,116363,7757535,Low ROI
Bikaner,Tier_3,Apartment,4,1413,1,1,6,Fully-Furnished,None,5.29,0.27,3.79,2678,3.66,141300,3860678,High ROI
Bengaluru,Tier_1,Independent House,3,1110,7,0,1,Fully-Furnished,Open,8.0,4.01,4.3,5941,1.5,102467,6831149,Low ROI
Dhanbad,Tier_3,Apartment,3,1027,0,3,8,Fully-Furnished,Covered,4.04,0.81,6.43,2694,4.2,107898,2569009,High ROI
Howrah,Tier_3,Apartment,1,609,42,5,11,Semi-Furnished,Open,3.11,3.88,5.97,1378,3.01,26810,890704,Medium ROI
Nashik,Tier_3,Plot,2,1313,3,0,2,Semi-Furnished,None,3.62,0.53,6.19,2107,4.92,133141,2706120,High ROI
Erode,Tier_3,Apartment,3,1436,10,5,7,Unfurnished,None,7.17,1.01,6.19,2447,4.46,153853,3449619,High ROI
Nanded,Tier_3,Apartment,5,1711,9,6,8,Semi-Furnished,Open,5.84,1.94,4.26,2668,4.96,218766,4410608,High ROI
Raipur,Tier_3,Villa,2,2036,3,0,2,Unfurnished,Open,2.16,1.72,6.83,2858,2.85,158362,5556577,Medium ROI
Navi Mumbai,Tier_2,Apartment,1,654,6,2,10,Semi-Furnished,None,4.19,5.35,0.67,4124,2.62,69219,2641981,Medium ROI
Hubli-Dharwad,Tier_3,Villa,4,3692,12,0,2,Fully-Furnished,None,1.45,1.23,3.46,3404,3.25,434653,13373951,Medium ROI
Ludhiana,Tier_3,Apartment,2,778,7,0,4,Unfurnished,Covered,7.6,4.32,4.44,2182,3.54,59776,1688589,High ROI
Faridabad,Tier_3,Independent House,2,1056,5,0,3,Semi-Furnished,Open,6.61,3.89,1.51,3221,4.32,152369,3527066,High ROI
Agartala,Tier_3,Independent House,2,1074,10,0,2,Fully-Furnished,Open,0.16,1.04,2.42,3463,2.96,106570,3600348,Medium ROI
Srinagar,Tier_3,Independent House,4,1613,1,0,3,Unfurnished,Open,2.67,0.71,1.15,3141,4.66,253245,5434444,High ROI
Moradabad,Tier_3,Apartment,2,1194,0,1,4,Semi-Furnished,Covered,0.18,2.79,1.96,3490,4.76,212406,4462318,High ROI
Rajkot,Tier_3,Plot,2,1357,0,0,1,Unfurnished,Open,2.68,0.78,1.29,2499,4.59,144541,3149042,High ROI
Kanpur,Tier_2,Apartment,3,869,0,5,8,Semi-Furnished,Open,4.21,7.51,2.21,4303,2.86,109658,3834200,Medium ROI
Rajkot,Tier_3,Independent House,2,1209,8,0,1,Unfurnished,Open,2.76,0.51,3.07,2217,3.05,76390,2504593,Medium ROI
Dhanbad,Tier_3,Apartment,2,1032,0,5,10,Unfurnished,Open,7.4,3.87,6.52,2260,3.39,78696,2321423,Medium ROI
Shimla,Tier_3,Apartment,2,914,16,7,9,Fully-Furnished,Open,2.57,1.17,5.76,2545,4.31,96129,2230383,High ROI
Nagpur,Tier_2,Apartment,2,841,2,1,7,Semi-Furnished,Covered,3.95,0.06,2.19,5413,1.91,91398,4785260,Low ROI
Thiruvananthapuram,Tier_3,Apartment,2,746,6,5,13,Semi-Furnished,Open,1.01,3.12,0.15,3104,3.76,80475,2140302,High ROI
Rourkela,Tier_3,Apartment,2,712,0,5,8,Semi-Furnished,Open,7.98,3.41,3.58,2057,4.01,59661,1487822,High ROI
Bhubaneswar,Tier_3,Plot,3,1956,8,0,1,Semi-Furnished,None,2.49,2.74,2.44,1851,4.26,152641,3583134,High ROI
Raipur,Tier_3,Apartment,2,1029,0,1,7,Semi-Furnished,Open,8.79,0.87,6.59,2923,4.59,137629,2998455,High ROI
Navi Mumbai,Tier_2,Plot,2,1258,0,0,1,Semi-Furnished,Open,7.48,6.62,5.3,4574,2.48,141900,5721797,Low ROI
Lucknow,Tier_2,Apartment,3,1436,5,10,13,Semi-Furnished,Covered,1.87,2.88,1.85,3385,1.5,70801,4720109,Low ROI
Mysore,Tier_3,Apartment,3,1463,3,0,4,Semi-Furnished,Open,6.33,4.12,0.76,2829,5.5,224811,4087477,High ROI
Kolkata,Tier_1,Apartment,2,923,1,5,7,Unfurnished,Open,13.31,3.0,6.76,6222,3.21,182880,5697210,Medium ROI
Solapur,Tier_3,Independent House,3,1339,0,0,3,Semi-Furnished,None,3.36,2.9,4.9,2525,2.82,94185,3339897,Medium ROI
Tiruchirappalli,Tier_3,Independent House,1,787,1,0,1,Semi-Furnished,Covered,5.99,3.33,6.24,3574,3.48,94090,2703755,Medium ROI
Bhavnagar,Tier_3,Independent House,3,1007,13,0,2,Semi-Furnished,None,1.17,2.73,0.14,2324,3.22,70793,2198560,Medium ROI
Jhansi,Tier_3,Apartment,1,1044,4,9,12,Fully-Furnished,Open,4.19,0.28,2.8,2855,4.57,140028,3064075,High ROI
Hyderabad,Tier_1,Apartment,2,854,4,5,8,Semi-Furnished,None,5.89,8.35,5.64,5132,2.9,129864,4478084,Medium ROI
Bokaro,Tier_3,Apartment,3,1459,6,8,9,Fully-Furnished,Open,5.84,0.92,7.05,2450,3.19,114666,3594559,Medium ROI
Visakhapatnam,Tier_3,Villa,3,2273,0,0,2,Semi-Furnished,Open,2.59,1.62,2.96,3702,3.94,337756,8572492,High ROI
Jamshedpur,Tier_3,Apartment,1,761,1,2,5,Semi-Furnished,None,4.86,4.85,0.77,2700,2.76,58740,2128278,Medium ROI
Nagpur,Tier_2,Apartment,5,1608,17,1,10,Semi-Furnished,Covered,3.25,8.12,5.74,4311,1.57,107484,6846163,Low ROI
Bengaluru,Tier_1,Apartment,3,1290,12,5,7,Fully-Furnished,Covered,9.57,5.6,12.64,5170,1.5,106639,7109310,Low ROI
Thane,Tier_2,Independent House,2,820,1,0,2,Fully-Furnished,Open,4.24,4.9,7.83,6668,3.19,167270,5243583,Medium ROI
Kolkata,Tier_1,Apartment,2,778,3,6,7,Semi-Furnished,Open,8.63,7.77,9.21,6419,1.5,71142,4742855,Low ROI
Salem,Tier_3,Villa,3,2600,2,0,1,Fully-Furnished,Open,7.61,1.3,3.9,3234,3.87,310157,8014397,High ROI
Mangalore,Tier_3,Villa,2,2071,3,0,2,Fully-Furnished,Covered,6.9,0.53,3.48,4718,2.64,241327,9141176,Medium ROI
Varanasi,Tier_3,Apartment,2,1225,8,1,10,Fully-Furnished,Open,6.62,2.38,0.01,3123,3.3,132851,4025818,Medium ROI
Bijapur,Tier_3,Apartment,2,1317,4,8,9,Semi-Furnished,Open,8.16,4.15,5.68,2661,4.11,140417,3416475,High ROI
Vijayawada,Tier_3,Apartment,2,639,7,7,11,Fully-Furnished,Open,5.29,0.79,0.16,2911,3.08,54267,1761918,Medium ROI
